id	filename	md5	size	state
700d5c11-a9ee-472a-a009-97bbe8b3c736	mirnas.quantification.txt	e1494ad4459c17ee472ff18167304267	50150	submitted
b0c5e1fd-965b-40c4-8e2b-02815d15d686	mirnas.quantification.txt	44d45b02dca95d1f3e1c394d5208ea10	50101	submitted
4d420067-08d1-4e08-b4d8-3198299f12b7	mirnas.quantification.txt	4385e34f10f1f332dced19460462935d	50300	submitted
3fe57f80-06dc-4896-8cba-c2b63d35f646	mirnas.quantification.txt	be46c76d48ed8427ae3b9c4db8782d80	50292	submitted
b5dc5757-6118-4da6-bd04-8c3a5de72da4	mirnas.quantification.txt	490cad143ce8076752b28c076c2061e9	50267	submitted
4a676e8e-0958-4f89-b8cf-b5dcb8e90c52	mirnas.quantification.txt	959b786da804a969b706a69fe4cb8aae	50269	submitted
d56a08ca-8cee-47a9-afe6-bce84ac15282	mirnas.quantification.txt	dd1932898e53dc5d6e657961b4014392	50101	submitted
8e606c9b-8488-4d0d-8a65-5cc114e0d685	mirnas.quantification.txt	f053698550ed6675b3b762e92dc3da58	50365	submitted
0c14fe61-87fd-4263-88ba-afe055bbde28	mirnas.quantification.txt	ffc95b3da8302279b1394e07e49d3fac	50179	submitted
6331cb9b-23d4-4be2-955e-d94fb16bf120	mirnas.quantification.txt	72499137876bbfc77586f68f7721f32d	50370	submitted
4b057d21-8707-4108-be07-cc03fef655ec	mirnas.quantification.txt	a779942c7425d32de291a25b1f15f3cb	50267	submitted
bd476e05-31cc-4d8b-b0d7-9db91133dcb7	mirnas.quantification.txt	d7fe10f0c993b787e55a5af021a2ccd4	50391	submitted
4bfbf069-25cb-44f9-a796-ca17deb337de	mirnas.quantification.txt	9b4cd0493f49fa7d9d88bfb052b33109	50063	submitted
6225191e-82dd-4eb0-a951-df2e4c2e064a	mirnas.quantification.txt	ded2fc2c8df1c978a9838cf2c51583bc	50225	submitted
d74b9f57-0d24-4543-8748-e4b39761d7b5	mirnas.quantification.txt	d4d74376a1c88f9c1f0fa8b2a10b661b	50425	submitted
cfbf72ff-eef9-492d-8560-9a48df367797	mirnas.quantification.txt	59f627839667786f7b2480c03c7a63c7	50237	submitted
dbcd274e-90c9-4c8c-8eb1-f2acb7cc60fa	mirnas.quantification.txt	b81778b7c3ab58b03d55ad899274cbff	50207	submitted
64900f7d-e66c-44df-9456-4bb81cc1fa69	mirnas.quantification.txt	65cfd941dfa05a5b316a6ef871788654	50228	submitted
70199e46-7631-4c8c-95ed-8c3691ef2d60	mirnas.quantification.txt	5ab6d2f21b2138ce64cdbb1fb7b2f9d2	50105	submitted
ed101f2c-2d82-43a8-9682-8438e853ff83	mirnas.quantification.txt	fac4faa29547e14a26944472c666d32b	50296	submitted
