X63928 X89869 X114 X111 X6790 X995 X196883 X891 X6196 X6195 X5499 X818 X801 X5566
TCGA-A2-A0D4 6.95050878944953 6.4811298911751 6.65038569897188 17.1261696388686 18.6187088394883 17.417751883801 15.4662115981161 19.8590790142493 15.397583423769 16.918014649794 21.3113604457203 16.709716495264 19.877087981212 18.3124258085013
TCGA-A2-A04R 3 9.43648413434444 3 12.4365477574125 18.2985783112856 16.619103709187 14.6115363583906 19.3823091702767 15.3851917196418 16.851481318896 20.5878813021307 17.1406274554565 19.8399380123241 19.1630856471381
TCGA-AO-A0J4 6.87237858929547 3 7.82086258236713 12.8346800741807 18.1481595254787 15.4760789793262 14.2083135977513 19.1302810185081 16.4337794865012 17.9973913037074 20.2132879852195 17.2464386342174 19.396060382399 18.6083995219262
TCGA-A7-A6VW 9.67279895595313 3 6.47150914838889 12.0120647611515 17.8667064988976 16.6004050769359 13.2574610515928 20.3405939313824 16.6894759021045 17.1916699975572 21.7288124975362 17.6814006190733 19.4942914146109 18.461854011556
TCGA-E2-A14Z 9.6228140922437 8.14130795505352 8.32126239190002 17.0930179967516 17.1194035001538 15.7727267416076 15.103597981719 21.0163979223536 16.2868904971471 17.5621022453678 20.4608898659325 16.8176213428297 19.5374609710704 19.0132257548858
TCGA-A7-A5ZX 9.01997632760881 11.8616491636876 3 15.6474418998006 14.2447441383069 11.8154857930491 15.1588768527863 16.7213835699653 16.9598823245702 17.7927842313248 20.0134623198503 16.6229999325257 19.0692566534579 18.2419357882184
TCGA-3C-AALI 7.93614364563484 3 6.68188553224045 16.8821034587383 18.3930400206675 14.9845833409926 15.3332241749033 19.6383231446984 15.5873185958744 17.0110086667214 20.9674942056846 16.9538048578784 19.9368263804169 18.8383820146179
TCGA-AC-A2B8 7.7651431499378 7.27911726210272 7.0617548082755 16.5200268909932 15.66859639651 14.0004328661839 15.4572976352161 17.2904342762106 18.2752044085899 18.2395895579416 19.7093254684497 16.5847179596114 19.5983287573311 18.4867007280324
TCGA-A1-A0SB 3 13.3010921158686 3 14.7513381898474 15.2987424487914 14.0062351319714 13.3520168141183 17.4481551786738 17.0825233253412 17.3596431141474 19.6519070110764 16.6591042370041 18.8730564389924 18.2581816039499
TCGA-E9-A229 3 7.97123428305912 5.75560998441476 12.9632157010288 18.1486063995218 15.3414758751695 14.1944564202218 18.501118566326 16.5721204207676 17.4609761636121 19.9966802704641 16.9880241197817 19.4500979744478 18.3103462631803
TCGA-D8-A1JC 3 8.23065339780974 7.75303613354481 15.357585180831 17.6678982918326 16.0557297546244 13.222090260092 19.4436131063181 15.9630804471515 16.1428594726449 20.6503163858535 17.6171802634715 20.2703235650939 18.1849480866468
TCGA-A2-A0D1 9.32697296935377 12.0257918239353 3 11.2907242990728 17.2076206958641 16.1729980203221 14.2361292619115 18.9339900170231 17.4077171118417 17.6535776909028 20.484189311475 16.6906575559543 20.7630622180914 19.1162064207801
TCGA-AC-A2QJ 9.82082154602761 3 6.99322217451582 11.3745398392254 17.1102555221747 16.2386613276684 15.9207488444518 19.335141528508 16.5406901867735 18.1388352239979 21.9002878633729 16.0977977503917 20.1765500351761 19.2111307017721
TCGA-A2-A0CK 8.46075304653703 8.94299968751229 7.18577135877067 15.400999836314 16.3684159251658 15.3206103871375 16.1446635767014 18.2585015085829 16.2170309065375 18.0504431940243 19.9252871022046 16.74991700832 19.363710590726 18.7636764173939
TCGA-AQ-A7U7 11.3547134657903 3 7.66970767021694 15.416211022311 16.7651880804476 14.8156627549772 16.6163873048527 17.5259673597388 17.0932024540348 17.3777800831785 19.8949787666751 16.8483128251951 19.417934088035 18.1641756526761
TCGA-D8-A1XU 6.99979151156906 6.52912370486684 3 17.7603879347549 17.0310770138198 14.4708237380142 14.9863687602544 18.1235378917656 16.8432653580152 17.6654949721664 19.5686542901044 16.5192127506494 19.7030962457875 19.1380849056968
